city,x,y
Delhi,959.1,37.5
Mumbai,412.5,334.8
Bengaluru,1104.7,1015.0
Chennai,1338.3,130.4
Kolkata,632.9,44.7
Hyderabad,328.0,758.0
Pune,39.8,298.3
Ahmedabad,974.8,817.4
Jaipur,330.7,883.9
Lucknow,1214.1,9.7
Kanpur,1208.7,1047.2
Nagpur,510.4,233.2
Indore,1435.8,504.9
Bhopal,139.1,145.1
Patna,1271.2,905.6
Vadodara,1210.7,1094.6
Surat,804.3,1459.7
Nashik,567.8,828.1
Agra,1244.1,927.8
Varanasi,1292.6,866.0
Ranchi,1056.9,68.7
Raipur,341.8,434.1
Guwahati,119.7,349.2
Chandigarh,151.5,417.0
Amritsar,953.5,547.2
Ludhiana,555.3,314.3
Dehradun,400.5,1405.0
Jodhpur,972.1,913.7
Udaipur,256.7,1093.7
Kota,245.1,569.2
Meerut,1484.3,960.0
Aligarh,835.4,1026.9
Gwalior,1264.3,1164.0
Jabalpur,343.6,48.2
Bhubaneswar,473.2,401.6
Visakhapatnam,316.5,1414.4
Vijayawada,1314.6,472.0
Coimbatore,983.2,593.4
Madurai,1371.8,688.3
Kochi,397.3,369.9
Thiruvananthapuram,842.1,394.1
Mysuru,876.9,1346.7
Mangaluru,599.1,329.0
Goa,1496.3,764.3
Aurangabad,136.4,70.7
Rajkot,164.5,941.2
Srinagar,1188.1,633.2
Jammu,95.3,572.4
Shimla,1494.2,793.7
Siliguri,1456.6,1291.2
