city_a,city_b,km
Agra,Bengaluru,164
Agra,Kanpur,125
Agra,Patna,35
Agra,Varanasi,78
Ahmedabad,Aligarh,252
Ahmedabad,Bengaluru,236
Ahmedabad,Coimbatore,224
Ahmedabad,Jodhpur,96
Aligarh,Bengaluru,270
Aligarh,Jodhpur,177
Aligarh,Mysuru,322
Aligarh,Nashik,333
Aligarh,Surat,434
Amritsar,Coimbatore,55
Amritsar,Srinagar,250
Amritsar,Thiruvananthapuram,189
Aurangabad,Bhopal,74
Aurangabad,Jabalpur,208
Aurangabad,Pune,247
Bengaluru,Gwalior,218
Bengaluru,Jodhpur,167
Bengaluru,Kanpur,109
Bengaluru,Mysuru,402
Bengaluru,Vadodara,133
Bhopal,Guwahati,205
Bhopal,Jabalpur,226
Bhopal,Pune,183
Bhubaneswar,Kochi,82
Bhubaneswar,Ludhiana,120
Bhubaneswar,Mangaluru,145
Bhubaneswar,Mumbai,90
Bhubaneswar,Raipur,135
Chandigarh,Guwahati,75
Chandigarh,Jammu,165
Chandigarh,Kota,179
Chandigarh,Pune,163
Chennai,Lucknow,173
Chennai,Ranchi,288
Chennai,Vijayawada,342
Coimbatore,Srinagar,209
Coimbatore,Thiruvananthapuram,244
Dehradun,Surat,408
Dehradun,Udaipur,343
Dehradun,Visakhapatnam,85
Delhi,Kolkata,326
Delhi,Lucknow,257
Delhi,Ranchi,103
Goa,Indore,266
Goa,Madurai,146
Goa,Meerut,196
Goa,Shimla,29
Guwahati,Jammu,225
Guwahati,Pune,95
Gwalior,Kanpur,129
Gwalior,Siliguri,231
Gwalior,Vadodara,88
Hyderabad,Jaipur,126
Hyderabad,Kota,206
Hyderabad,Nashik,250
Hyderabad,Rajkot,245
Indore,Madurai,194
Indore,Vijayawada,126
Jabalpur,Nagpur,249
Jaipur,Nashik,244
Jaipur,Rajkot,176
Jaipur,Udaipur,222
Jammu,Kota,150
Kanpur,Patna,155
Kanpur,Vadodara,47
Kochi,Mumbai,38
Kochi,Raipur,85
Kolkata,Ludhiana,281
Kolkata,Mangaluru,286
Kolkata,Nagpur,225
Kota,Raipur,166
Lucknow,Ranchi,168
Ludhiana,Mangaluru,46
Ludhiana,Nagpur,93
Madurai,Shimla,161
Madurai,Srinagar,192
Madurai,Varanasi,195
Madurai,Vijayawada,224
Mangaluru,Nagpur,131
Mangaluru,Thiruvananthapuram,252
Meerut,Shimla,167
Meerut,Siliguri,332
Meerut,Varanasi,214
Mumbai,Nagpur,141
Mumbai,Raipur,122
Mysuru,Surat,134
Patna,Varanasi,45
Rajkot,Udaipur,178
Siliguri,Vadodara,315
Srinagar,Vijayawada,205
Surat,Visakhapatnam,490
Udaipur,Visakhapatnam,326
